"result_id","cdm_name","group_name","group_level","strata_name","strata_level","variable_name","variable_level","estimate_name","estimate_type","estimate_value","additional_name","additional_level"
1,"CPRD GOLD","task","generating denominator (8 cohorts)","overall","overall","overall","overall","time_taken_minutes","numeric","31.06","dbms &&& person_n &&& min_observation_start &&& max_observation_end","postgresql &&& 17521504 &&& 1987-09-09 &&& 2024-06-15"
1,"CPRD GOLD","task","yearly point prevalence for two outcomes with eight denominator cohorts","overall","overall","overall","overall","time_taken_minutes","numeric","14.08","dbms &&& person_n &&& min_observation_start &&& max_observation_end","postgresql &&& 17521504 &&& 1987-09-09 &&& 2024-06-15"
1,"CPRD GOLD","task","yearly period prevalence for two outcomes with eight denominator cohorts","overall","overall","overall","overall","time_taken_minutes","numeric","14.78","dbms &&& person_n &&& min_observation_start &&& max_observation_end","postgresql &&& 17521504 &&& 1987-09-09 &&& 2024-06-15"
1,"CPRD GOLD","task","yearly incidence for two outcomes with eight denominator cohorts","overall","overall","overall","overall","time_taken_minutes","numeric","64.51","dbms &&& person_n &&& min_observation_start &&& max_observation_end","postgresql &&& 17521504 &&& 1987-09-09 &&& 2024-06-15"
1,NA,"overall","overall","overall","overall","settings",NA,"result_type","character","IncidecnePrevalence benchmark","overall","overall"
1,NA,"overall","overall","overall","overall","settings",NA,"package_name","character","IncidencePrevalence","overall","overall"
1,NA,"overall","overall","overall","overall","settings",NA,"package_version","character","1.1.0","overall","overall"
1,NA,"overall","overall","overall","overall","settings",NA,"group","character","task","overall","overall"
1,NA,"overall","overall","overall","overall","settings",NA,"strata","character","","overall","overall"
1,NA,"overall","overall","overall","overall","settings",NA,"additional","character","dbms &&& person_n &&& min_observation_start &&& max_observation_end","overall","overall"
1,NA,"overall","overall","overall","overall","settings",NA,"min_cell_count","character","5","overall","overall"
